,A apol,A AMR,A nH,A nC,A nN,A nO,A nS,A MW,A nBondsD,A nBonds,A nBonds2,A Sv,A Sse,A Spe,A Sare,A Sp,A Si,A Mv,A Mse,A Mpe,A Mare,A Mp,A Mi,A ETA_dEpsilon_A,A ETA_dAlpha_B,A ETA_BetaP,A FMF,A fragC,A HOMO,A LOMO,A Bandgap,B apol,B AMR,B nH,B nC,B nN,B nO,B nS,B MW,B nBondsD,B nBonds,B nBonds2,B Sv,B Sse,B Spe,B Sare,B Sp,B Si,B Mv,B Mse,B Mpe,B Mare,B Mp,B Mi,B ETA_dEpsilon_A,B ETA_dAlpha_B,B ETA_BetaP,B FMF,B fragC,B HOMO,B LOMO,B Bandgap,Time (s),Potential (v)
A apol,1.0,0.9966096397348062,0.7335077901701306,0.9717902285207545,0.534516887511779,0.8084071140260237,0.8775121553437754,0.9837589367862016,0.9825267532913992,0.9907781670110051,0.9985060651897653,0.9990788950758089,0.9959588627227474,0.9961228034717088,0.9958198388128056,0.9999748533503189,0.9930428751398873,0.7725523333130391,0.8181075591386453,0.8487872537037395,0.8425543301454889,0.7421034603232631,-0.43550571791377646,0.8559135090557243,-0.08303242117506714,0.5337308198109229,0.40291929130787324,0.9399628887478927,-0.2064720952253645,-0.8892157802292202,-0.796146608972634,-0.08409933536135943,-0.08642057018755266,-0.03831221165389942,-0.08479838630394707,-0.06631133344901922,-0.08744272238646714,-0.07725154574647726,-0.0865451859054308,-0.0857505370864367,-0.08696539215772271,-0.08208765784759307,-0.08534948209686183,-0.08269133344848355,-0.08317292289797983,-0.083184762137349,-0.08405163622933014,-0.08062549415802234,-0.09395374974104555,-0.0879582194726224,-0.09133531511085165,-0.09046435061795816,-0.09148858117665795,0.07853297827528412,-0.0906620142947625,0.02971263336528396,-0.08223388281958463,-0.05571003070396472,-0.08026235750159592,-0.07977002276227775,0.1074477432755099,0.13293013792944738,4.403566398256649e-19,-0.2703357625026757
A AMR,0.9966096397348062,1.0,0.7081452097621678,0.9817579318496156,0.5150455378371449,0.7950093094182075,0.8692278687844889,0.9775536048600765,0.990185891528574,0.9900235474872839,0.9923008038908633,0.9952030591324542,0.9861500332043136,0.9865488461327832,0.9860314704231756,0.9961857876205202,0.982170222465832,0.8100920895460456,0.8161276796406007,0.852933713516512,0.8437343153669598,0.7864617642502472,-0.49007993416074447,0.8599921255692623,-0.1408343959438536,0.5831325380209563,0.4539888863471058,0.9394840129506996,-0.21952492586649366,-0.8949086524926487,-0.797365235652595,-0.08113497172846026,-0.08392107810119175,-0.034451552969834154,-0.08289919172984984,-0.0621535937586623,-0.08442842065143014,-0.07347437222021604,-0.08354501204225011,-0.08353699603062881,-0.08450709745289002,-0.07901704907915548,-0.08245953784456984,-0.07934273238611332,-0.07985797672869603,-0.07985919691619785,-0.08105420363796935,-0.07717567678067858,-0.09762564828024656,-0.08720075150388198,-0.09153576341859833,-0.09039166322784047,-0.09512090106144533,0.08509913065455907,-0.09049183892514563,0.032353910442416534,-0.0890016338487478,-0.06329098116875838,-0.07673682332224162,-0.08277368075634282,0.1094752753598849,0.13591498550626244,0.0,-0.25549407927762763
A nH,0.7335077901701306,0.7081452097621678,1.0,0.7037591704534544,0.6394599945038794,0.34211366402968707,0.4484259864749185,0.633630358451047,0.6257354654417837,0.6394577131899789,0.7600375529698129,0.7091943858298102,0.7539037513890426,0.7467545356034954,0.74627745494476,0.7337616677873771,0.7920805678504744,0.2665829696153713,0.29656314200213,0.3154861852933956,0.3154872864451582,0.2785874204904708,0.007990913232888966,0.3285279416377213,-0.14060584373875434,0.2444930953329894,0.07294135198242195,0.5103187018308478,0.17075600841392138,-0.4656250511551486,-0.5090893277426904,-0.08052063526157384,-0.08057421271339564,-0.07371568957580832,-0.08372978398069222,-0.06689733044450318,-0.05012866249076169,-0.0532121841548038,-0.07250012959209493,-0.07145152768290802,-0.074148033895681,-0.08107605775383284,-0.07896629196507432,-0.08041415640624512,-0.08003609193457138,-0.07995920942210967,-0.08039397897151009,-0.08199521480478288,-0.04333168807100969,-0.030316497972991675,-0.033448523214685756,-0.03213095179069388,-0.04788952868168022,0.035783833814529896,-0.035643273565574944,0.05405145357285888,-0.039779455727905866,-0.006536178565595237,-0.07273596550243948,-0.09010464966430132,0.056218260101199034,0.08493108877398628,0.0,-0.21736698896052808
A nC,0.9717902285207545,0.9817579318496156,0.7037591704534544,1.0,0.47079854141906397,0.7138773385596334,0.7826104238348668,0.9298764597281155,0.9679053995924041,0.9622543373005522,0.9678650521962471,0.9663571861393829,0.9490208660290199,0.9489156064327171,0.9478198006557316,0.970093228301412,0.9483123115021664,0.8496941569604302,0.7381880854346277,0.7927437111600519,0.7763892792789217,0.8431249237300772,-0.5906729223292344,0.7956090767247209,-0.26915531265133674,0.6518614885167647,0.5684195850750475,0.9036619036347215,-0.15562074740947168,-0.9012468597584299,-0.8246541405708986,-0.08259004739100877,-0.08459940361941441,-0.04286111288978882,-0.08543341568948923,-0.060887024053420044,-0.08144533077743558,-0.068092827387176,-0.082969349114262,-0.08155767795546234,-0.08480565908152418,-0.08153460377813493,-0.08357341386351352,-0.0813804078781802,-0.08174425225218004,-0.08174196138745658,-0.08247442935019322,-0.07984201864413902,-0.09389658186297203,-0.07974564176494692,-0.08478833213912144,-0.08347435499207509,-0.09136997775640524,0.08503059607203371,-0.08308162728995155,0.03201777070739735,-0.0842092920095587,-0.06599729008350375,-0.07419419746916552,-0.08420487966773342,0.1090024886931879,0.13589677875543388,1.3565096307909071e-18,-0.20120517682841657
A nN,0.534516887511779,0.5150455378371449,0.6394599945038794,0.47079854141906397,1.0,0.1292777961829279,0.27443271386955126,0.4746690102475227,0.5041658762371317,0.48731410446212875,0.5522896177560754,0.5238739053202248,0.5514864055837592,0.5496959004977084,0.5500306759809038,0.5359660055714143,0.5879797991990205,0.2101987768160836,0.20814781488189674,0.26063462400325443,0.2676207217591766,0.19626150477862034,0.26890714086510514,0.26119866739953884,0.14100807116614744,0.45701925117986675,0.14604173510777957,0.4000664066284753,0.4949556401309166,-0.4615250641726729,-0.6122881597050783,-0.042987592441470726,-0.04586309212911588,0.009080713100421425,-0.048666444189248675,-0.0525226856879642,-0.03538140754258392,-0.0422620685679428,-0.0463083092713077,-0.055661296746390636,-0.05006110762727837,-0.03884432086936561,-0.044369311149754107,-0.03711520246285238,-0.037946034953007045,-0.0378409378455083,-0.04279352563427386,-0.034614693780906966,-0.0792352714806489,-0.06062681118118199,-0.06729507984161671,-0.06605349919985555,-0.0774639523829825,0.06419575185900528,-0.06611886107916091,0.016331418681615185,-0.07173018655554819,-0.057734208802729135,-0.06571105587688839,-0.11766303910981198,0.07917968263750388,0.11668057255497895,0.0,-0.3249536563247951
A nO,0.8084071140260237,0.7950093094182075,0.34211366402968707,0.7138773385596334,0.1292777961829279,1.0,0.9713317892607591,0.8938614608250475,0.806901609123288,0.8531885382474461,0.7962875758762081,0.8292390647702503,0.8235637129703768,0.8276101155123748,0.8287236637631024,0.8105434941043107,0.7872127351086751,0.6510206146384873,0.9690442041461875,0.9391724834195158,0.9465114882545768,0.5661359354958246,-0.39132557727462414,0.9469723654647866,0.24960543986798833,0.1831377144499312,0.1428834790729539,0.8805980421073226,-0.5689991514946068,-0.7474731715803333,-0.5385023050824506,-0.05803890576063211,-0.05916428657678756,-0.020888208427564184,-0.050839721179718904,-0.04358908342929527,-0.08464717785121813,-0.07152099104561367,-0.06564681065512903,-0.060177680158085826,-0.06130404219232691,-0.05621297856734171,-0.059909427213509704,-0.059375763073687436,-0.05986507459375108,-0.059996872941130555,-0.05825092778621167,-0.05673134108243166,-0.05881364379270379,-0.08270046845586432,-0.07914927475159543,-0.08024820534461272,-0.05393620451051596,0.03609963458263094,-0.07944518502097696,-0.005622649937209655,-0.040284714319506365,-0.01707528550509445,-0.05354081496193581,-0.008559276256841527,0.07163527184930643,0.07443496992980025,1.1335454938734444e-18,-0.24014815022649827
A nS,0.8775121553437754,0.8692278687844889,0.4484259864749185,0.7826104238348668,0.27443271386955126,0.9713317892607591,1.0,0.9432637323127756,0.884036747901337,0.905838809193512,0.864129017630066,0.8925329059328206,0.8883726635752867,0.891560049322026,0.892374787327134,0.8795993640305304,0.8600119138306483,0.6667492132436783,0.954037775727067,0.9324114927057141,0.9380097693562687,0.6009463123907294,-0.35904352390820027,0.946948706051297,0.14973810005950017,0.26090394993122595,0.15436090205626601,0.9248973005440652,-0.5562593190124152,-0.7633151670086084,-0.5581142954088445,-0.0698555614727581,-0.07340888481606633,-0.015620065897744614,-0.06573657839084505,-0.05596379050462851,-0.0913751324626038,-0.08309387424897938,-0.07797629120013491,-0.07775488422444556,-0.07505240528951045,-0.06613157381360397,-0.07198706848819392,-0.06854722575051216,-0.06929681408162622,-0.06936330666324635,-0.06996579632457262,-0.06509758216691205,-0.08800799818094975,-0.09747326491302524,-0.09718886401847905,-0.09712954987325399,-0.08526766794458651,0.06697086874818309,-0.09797849817494497,0.02386936213308313,-0.07875707070362706,-0.04155435225971488,-0.06929667523720157,-0.031513816533001324,0.0944763702660117,0.10460005977484246,4.557758666397253e-19,-0.27912256534021546
A MW,0.9837589367862016,0.9775536048600765,0.633630358451047,0.9298764597281155,0.4746690102475227,0.8938614608250475,0.9432637323127756,1.0,0.9759645910276117,0.9927926664248852,0.9782846006745278,0.9901383159576126,0.9853446050716022,0.9870326207262744,0.9872056520404386,0.9845199332490308,0.9724048112533122,0.7697834884819817,0.9009296356147601,0.916917339413695,0.9151636144833344,0.7199717046865638,-0.4194803431482444,0.9243187541529208,0.03245798037571094,0.4707368442433867,0.34533297514400096,0.9659600212158089,-0.30583779691488516,-0.8915699108009376,-0.7655835255327936,-0.07861503530993494,-0.08106537899533621,-0.028595229031152438,-0.07726095696830602,-0.06271703623881957,-0.09063292401452083,-0.07971158946822884,-0.08365865537421578,-0.08250703673265591,-0.0828499998683391,-0.0760683795565888,-0.08035149596642753,-0.0773800919035326,-0.07799515830181515,-0.07803820028532404,-0.07863446037246113,-0.07467341002852595,-0.09254544592811807,-0.09421755600459925,-0.09607644125661458,-0.09570096814765587,-0.08892018168172473,0.07352042811387569,-0.09549020430383401,0.019740374839390822,-0.07845988632753868,-0.05175740624495821,-0.07692450706451688,-0.06542458965522982,0.10512038785472426,0.1260386660458991,7.488477429276524e-19,-0.28696823813921246
A nBondsD,0.9825267532913992,0.990185891528574,0.6257354654417837,0.9679053995924041,0.5041658762371317,0.806901609123288,0.884036747901337,0.9759645910276117,1.0,0.9871183643797791,0.9717551608585722,0.9843220497434547,0.9674338314088665,0.9690307141047321,0.9685332486914262,0.9821082744961732,0.9583857053222832,0.83932552705934,0.8408508920185852,0.8798463302435872,0.8701699407438406,0.8135005909905858,-0.5127574929492517,0.887980708209183,-0.1318135237953674,0.6106486697889406,0.4763741629083696,0.9492480080650263,-0.26330973313466355,-0.9191973588922925,-0.8065005440983886,-0.07804839650776835,-0.08175676167841275,-0.022217753368069866,-0.07937436133650477,-0.06326695425520723,-0.08672617267231784,-0.07626072234246524,-0.08286456201520719,-0.08474703232431151,-0.08346167179911682,-0.07485053014295026,-0.07994568578024752,-0.07548744823271261,-0.0762234396930785,-0.07623122672534785,-0.07798253541123831,-0.07252471992519686,-0.10675675172460353,-0.09623128514352591,-0.10096629417310835,-0.09982153355835684,-0.1035817020318641,0.09151407146039564,-0.09985820812629317,0.0310384265994051,-0.1006686498318687,-0.07215919472746468,-0.0757713714315385,-0.07917500428860841,0.11747980519258149,0.14278391933125034,1.7522512316002007e-19,-0.25602479852180854
A nBonds,0.9907781670110051,0.9900235474872839,0.6394577131899789,0.9622543373005522,0.48731410446212875,0.8531885382474461,0.905838809193512,0.9927926664248852,0.9871183643797791,1.0,0.9856560432473697,0.9949348524878178,0.9838688300723177,0.9854668704399567,0.9852823631279093,0.9907705181291985,0.9732616480656754,0.8204962387081508,0.8732459744949603,0.9039569387332548,0.8975764802558396,0.7800690724441661,-0.4868095986093596,0.9076841083993958,-0.04335627979083655,0.550065779172797,0.4425093173981732,0.9684883085360563,-0.2517114894427425,-0.9183900309781828,-0.8095502625763398,-0.07989675861811611,-0.08217590186799305,-0.030593586210551575,-0.07978206723893919,-0.06157398435465363,-0.08995161929844908,-0.0773958165961687,-0.08413141455525963,-0.08274794373235392,-0.0842273178361935,-0.07774428717661859,-0.08157426461951894,-0.07855464330483067,-0.07914620420245189,-0.07917942797484065,-0.07987627664731085,-0.07597391400587421,-0.09573617777215464,-0.09338626696571463,-0.09615170148310742,-0.09554909617249575,-0.09181840639631353,0.0795734151088948,-0.0948519114331483,0.020135549786243205,-0.08034058691661994,-0.059578725810336,-0.07723170972323168,-0.07032836498780204,0.10892949657416483,0.13141123242366,9.889746222617548e-19,-0.26576509128193954
